"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"11",11,"Ottenbach",37,1.35,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 37 $/td£  $td£ 1.35% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Hegetschweiler $/td£ $td£ 24 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Berli $/td£ $td£ 21 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 19 $/td£  $td£ 0.69% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Leutert $/td£ $td£ 18 $/td£  $td£ 0.66% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Sidler $/td£ $td£ 18 $/td£  $td£ 0.66% $/td£ $/tr£¢ $/table£"
"12",12,"Rifferswil",18,1.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 18 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Roth $/td£ $td£ 17 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Haller $/td£ $td£ 16 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Huber $/td£ $td£ 14 $/td£  $td£ 1.22% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hurter $/td£ $td£ 13 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 13 $/td£  $td£ 1.13% $/td£ $/tr£¢ $/table£"
"13",13,"Stallikon",29,0.76,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 29 $/td£  $td£ 0.76% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Huber $/td£ $td£ 20 $/td£  $td£ 0.52% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Widmer $/td£ $td£ 16 $/td£  $td£ 0.42% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gerber $/td£ $td£ 15 $/td£  $td£ 0.39% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 13 $/td£  $td£ 0.34% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Moser $/td£ $td£ 13 $/td£  $td£ 0.34% $/td£ $/tr£¢ $/table£"
"14",14,"Wettswil am Albis",44,0.83,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 44 $/td£  $td£ 0.83% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 39 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 29 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 24 $/td£  $td£ 0.45% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 22 $/td£  $td£ 0.42% $/td£ $/tr£¢ $/table£"
"15",21,NA,19,2.65,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Waser $/td£ $td£ 19 $/td£  $td£ 2.65% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Huber $/td£ $td£ 17 $/td£  $td£ 2.37% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moser $/td£ $td£ 17 $/td£  $td£ 2.37% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Furrer $/td£ $td£ 11 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ott $/td£ $td£ 11 $/td£  $td£ 1.54% $/td£ $/tr£¢ $/table£"
"16",22,"Benken ZH",30,3.52,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Strasser $/td£ $td£ 30 $/td£  $td£ 3.52% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Studer $/td£ $td£ 26 $/td£  $td£ 3.05% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meister $/td£ $td£ 25 $/td£  $td£ 2.93% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Haupt $/td£ $td£ 22 $/td£  $td£ 2.58% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 13 $/td£  $td£ 1.53% $/td£ $/tr£¢ $/table£"
"17",23,"Berg am Irchel",44,7.45,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Fehr $/td£ $td£ 44 $/td£  $td£ 7.45% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 24 $/td£  $td£ 4.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kramer $/td£ $td£ 21 $/td£  $td£ 3.55% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 19 $/td£  $td£ 3.21% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 15 $/td£  $td£ 2.54% $/td£ $/tr£¢ $/table£"
"18",24,"Buch am Irchel",35,3.41,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Brandenberger $/td£ $td£ 35 $/td£  $td£ 3.41% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Ganz $/td£ $td£ 23 $/td£  $td£ 2.24% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Weilenmann $/td£ $td£ 23 $/td£  $td£ 2.24% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schurter $/td£ $td£ 16 $/td£  $td£ 1.56% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 1.36% $/td£ $/tr£¢ $/table£"
"19",25,"Dachsen",36,1.85,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 36 $/td£  $td£ 1.85% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Rubli $/td£ $td£ 29 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Frei $/td£ $td£ 19 $/td£  $td£ 0.98% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schlatter $/td£ $td£ 17 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Leu $/td£ $td£ 15 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meister $/td£ $td£ 15 $/td£  $td£ 0.77% $/td£ $/tr£¢ $/table£"
"20",26,"Dorf",18,2.59,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Roth $/td£ $td£ 18 $/td£  $td£ 2.59% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moser $/td£ $td£ 15 $/td£  $td£ 2.16% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Arbenz $/td£ $td£ 13 $/td£  $td£ 1.87% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 12 $/td£  $td£ 1.73% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 10 $/td£  $td£ 1.44% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 10 $/td£  $td£ 1.44% $/td£ $/tr£¢ $/table£"
"21",27,"Feuerthalen",37,0.98,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 37 $/td£  $td£ 0.98% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 36 $/td£  $td£ 0.96% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Gasser $/td£ $td£ 27 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Fischer $/td£ $td£ 23 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Grajçevci $/td£ $td£ 23 $/td£  $td£ 0.61% $/td£ $/tr£¢ $/table£"
"22",28,"Flaach",83,5.76,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gisler $/td£ $td£ 83 $/td£  $td£ 5.76% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Fehr $/td£ $td£ 29 $/td£  $td£ 2.01% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 27 $/td£  $td£ 1.87% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Brandenberger $/td£ $td£ 26 $/td£  $td£ 1.8% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frauenfelder $/td£ $td£ 24 $/td£  $td£ 1.67% $/td£ $/tr£¢ $/table£"
"23",29,"Flurlingen",15,0.99,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 15 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 13 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Weber $/td£ $td£ 12 $/td£  $td£ 0.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Sauter $/td£ $td£ 11 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 10 $/td£  $td£ 0.66% $/td£ $/tr£¢ $/table£"
"24",30,NA,44,1.98,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 44 $/td£  $td£ 1.98% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 30 $/td£  $td£ 1.35% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Stegemann $/td£ $td£ 20 $/td£  $td£ 0.9% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Huber $/td£ $td£ 18 $/td£  $td£ 0.81% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 18 $/td£  $td£ 0.81% $/td£ $/tr£¢ $/table£"
"25",31,"Henggart",36,1.56,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frauenfelder $/td£ $td£ 36 $/td£  $td£ 1.56% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 27 $/td£  $td£ 1.17% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 27 $/td£  $td£ 1.17% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 24 $/td£  $td£ 1.04% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 23 $/td£  $td£ 1% $/td£ $/tr£¢ $/table£"
"26",32,NA,13,2.67,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Flacher $/td£ $td£ 13 $/td£  $td£ 2.67% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 12 $/td£  $td£ 2.46% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Freimüller $/td£ $td£ 7 $/td£  $td£ 1.44% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Graf $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Noseda $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ 
$tr£ $td£ 4. $/td£ $td£ Streiff $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Uhlmann $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Urfer $/td£ $td£ 6 $/td£  $td£ 1.23% $/td£ $/tr£¢ $/table£"
"27",33,"Kleinandelfingen",48,2.25,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 48 $/td£  $td£ 2.25% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 48 $/td£  $td£ 2.25% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Eigenheer $/td£ $td£ 27 $/td£  $td£ 1.27% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schmid $/td£ $td£ 21 $/td£  $td£ 0.98% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Landolt $/td£ $td£ 20 $/td£  $td£ 0.94% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 20 $/td£  $td£ 0.94% $/td£ $/tr£¢ $/table£"
"28",34,"Laufen-Uhwiesen",28,1.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 28 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spiess $/td£ $td£ 18 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Mändli $/td£ $td£ 17 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Werner $/td£ $td£ 14 $/td£  $td£ 0.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Witzig $/td£ $td£ 14 $/td£  $td£ 0.79% $/td£ $/tr£¢ $/table£"
"29",35,"Marthalen",62,3.22,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Wipf $/td£ $td£ 62 $/td£  $td£ 3.22% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Nägeli $/td£ $td£ 50 $/td£  $td£ 2.59% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 38 $/td£  $td£ 1.97% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Spalinger $/td£ $td£ 38 $/td£  $td£ 1.97% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frei $/td£ $td£ 25 $/td£  $td£ 1.3% $/td£ $/tr£¢ $/table£"
"30",37,"Ossingen",31,1.83,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 31 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Sigg $/td£ $td£ 29 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Neziraj $/td£ $td£ 23 $/td£  $td£ 1.36% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 19 $/td£  $td£ 1.12% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 18 $/td£  $td£ 1.06% $/td£ $/tr£¢ $/table£"
